SAT每日词汇对照表

SAT连载小说版本2 — Chapters 5-16 重点词汇
共计12天（章节），每天约35-45个SAT必背单词，词义符合SAT常见释义

Chapter 15 — The New Coordinates
本章SAT词汇数: 51 个
immersed	frenetic	negotiations
tumultuous	anticipation	congregate
tentative	spectacle	amused
detachment	inherently	meaningless
arbitrary	arbitrariness	agonize
transaction	exhausting	current
satisfactory	sustainable	precarious
archived	resonated	impact
gratifying	connection	enigmatic
flattering	complex	unexpected
blush	physiological	regulate
anonymity	denuded	significance
conferred	unreadable	steady
tangible	artifact	constructed
fragment	precious	coordinates
shifted	slanting	replete
tentative	minuscule	perceptible

Chapter 5 — The Weight of a Glance
本章SAT词汇数: 77 个
intermittent	observant	implicit
discreet	intrusive	concise
compelling	deliberately	catalog
qualifying	tenuous	permeable
melancholy	characteristic	cherish
redundant	authentic	candor
embellish	profound	soothing
reprieve	elaborate	coalesced
captivated	spontaneous	concerted
tacitly	disdain	longing
pretentious	frivolous	perceptive
scrutinize	periphery	lingered
intricate	immerse	vacant
articulate	innate	acquired
ambivalence	nostalgia	disillusion
fleeting	affinity	furtive
discarded	residual	dissipated
anguish	unobtrusive	perpetually
resonance	jarring	mispronounced
acquiesce	assert	negotiate
collective	saturated	crescent
exaggerate	perfunctory	humility
antidote	conceit	reciprocate
vulnerability	inadequate	inclination
oscillating	startling	dreading
anticipating	disorienting	

Chapter 7 — The Former Flame
本章SAT词汇数: 58 个
peripheral	articulate	coveted
disruption	complicated	ambiguous
amicably	candid	inflict
clandestine	ignite	identify
disconcerting	contradicted	impromptu
scrutinizing	subtlety	elusive
designate	precision	convened
drifting	unresolved	bulletin
proximity	deliberate	calculated
fleeting	anticipation	wariness
incision	impeccable	defensive
confessional	compelling	evocative
inadequate	superfluous	initiated
legitimate	disquieting	miscalculated
assessing	sincerity	context
tangle	disentangle	discomfiting
indispensable	melancholy	archival
catalog	minuscule	reciprocating
retrospective	uncomfortable	fundamental
capacity		

Chapter 8 — Before the Stage
本章SAT词汇数: 91 个
incessant	dissected	reassembled
scrutinized	meticulous	obsessive
depleted	precision	exhausted
evasive	moderation	neglect
weariness	contemplating	resemblence
temperamental	inclination	vigilance
restraint	perilous	ledge
perfection	tyrannical	uncharacteristic
pragmatic	prickle	suppressed
softened	tender	cavernous
amplify	podium	hammering
blinding	steady	constricting
abbreviated	flawless	reciting
palpable	excruciating	discomfiture
audible	inhabited	controlled
permeable	imposter	lived
incessant	exposed	inadequate
compulsion	authenticity	exhausting
endeavor	curating	flawless
trembling	stronger	internalize
scrutiny	harshest	relentless
prosecutors	irony	condemning
simulating	intruders	profoundly
awkwardness	recognition	antidote
curated	perfected	uncertain
genuine	subdued	sincere
authentic	compelling	expand
relief	rejected	imperfect
accepted	extraordinary	complex
guarded	vulnerability	obligation
tentative		

Chapter 11 — Who Am I?
本章SAT词汇数: 53 个
unassuming	composure	grandiose
theatrical	podium	undercurrent
profound	grappling	definitive
mispronounced	designation	reduced
multifaceted	superficial	attribute
unobtrusive	assimilate	integrating
paradox	invisibility	lonely
reverse	displacement	indelibly
fluent	adaptation	calibrate
accommodated	dispersing	fragmented
captive	charismatic	resonated
dilemma	legitimate	universal
cohesive	definitive	tentative
exterior	isolation	opposition
static	dynamic	monolith
mosaic	proclaim	collective
resounding	unassuming	minuscule
perceptible	seismic	

Chapter 6 — The Production Side
本章SAT词汇数: 85 个
oblique	furtive	conspicuous
breach	elaborate	discerned
disingenuous	exaggerated	intriguing
enigmatic	stiffen	insidious
fascinating	calculated	adept
manipulating	projectiles	penetrate
tactics	overt	provoke
precise	relevant	neutral
shifted	simulated	rumors
proliferate	implicit	regulate
